City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
517,srednekolymsk,64,RU,broken clouds,100,67.45,153.6833,-49.49,0.0,0.0,3.06
518,tiarei,70,PF,broken clouds,68,-17.5333,-149.3333,87.82,0.0,0.0,11.14
519,te anau,98,NZ,overcast clouds,66,-45.4167,167.7167,59.02,0.0,0.0,4.18
520,uvira,63,CD,broken clouds,83,-3.4067,29.1458,72.36,0.0,0.0,5.3
521,moose factory,1,CA,clear sky,86,51.2585,-80.6094,19.4,0.0,0.0,5.75
522,antofagasta,10,CL,clear sky,79,-23.65,-70.4,63.68,0.0,0.0,3.65
523,whitehorse,75,CA,broken clouds,86,60.7161,-135.0538,20.17,0.0,0.0,2.3
524,muswellbrook,25,AU,scattered clouds,56,-32.2667,150.9,67.66,0.0,0.0,5.68
525,chiguayante,90,CL,overcast clouds,88,-36.9167,-73.0167,52.32,0.0,0.0,5.75
526,poum,99,NC,overcast clouds,76,-20.2333,164.0167,82.45,0.0,0.0,15.86
527,lata,51,PT,broken clouds,98,40.1629,-8.3327,54.91,0.0,0.0,1.5
528,fort nelson,75,CA,broken clouds,85,58.8053,-122.7002,2.79,0.0,0.0,3.44
529,tarakan,75,ID,broken clouds,89,3.3,117.6333,80.1,0.0,0.0,5.75
530,uberaba,0,BR,clear sky,50,-19.7483,-47.9319,77.58,0.0,0.0,3.44
531,balkhash,10,KZ,clear sky,42,46.844,74.9804,18.68,0.0,0.0,13.09
532,keti bandar,0,PK,clear sky,30,24.1447,67.4497,65.25,0.0,0.0,11.34
533,luwuk,100,ID,overcast clouds,73,-0.9516,122.7875,83.25,0.0,0.0,1.86
534,oranjemund,0,NA,clear sky,93,-28.55,16.4333,60.91,0.0,0.0,4.79
535,cidreira,68,BR,broken clouds,73,-30.1811,-50.2056,66.11,0.0,0.0,7.25
536,araguaina,100,BR,overcast clouds,92,-7.1911,-48.2072,74.64,0.0,0.0,1.72
